 CPU               , IP Core                                    , link, Product/Model                           , Arch Linux , Debian/RevyOS , Fedora , Gentoo , openAnolis , openCloudOS , openEuler , openKylin , openSUSE , Ubuntu , Tina-Linux , Armbian , BuildRoot , OpenWRT , Bianbu , Deepin , Yocto  , Alpine
 SG2042            , XuanTie C920                               ,Pioneer, Pioneer Box                  , -          , Good          , Good   , -      , -          , WIP         , Good      , Good      , -        , -      , -          , -       , -         , -       , -      , Basic  , -     , -
 CV1800B           , XuanTie C906                               ,Duo, Milk-V Duo (64M)                 , Basic      , Basic         , -      , -      , -          , -           , Basic     , -         , -        , -      , -          , -       , Basic     , WIP     , -      , -      , -     , -
 SG2002            , XuanTie C906 + ARM Cortex-A53              ,Duo256m, Milk-V Duo (256M)            , -          , Basic         , -      , -      , -          , -           , -         , -         , -        , -      , -          , -       , Basic     , -       , -      , -      , -     , WIP
 TH1520            , XuanTie C910 + XuanTie C906 + XuanTie E902 ,LicheePi4A, LicheePi 4A                    , Good       , Good          , Good   , -      , -          , -           , Good      , Good      , -        , Basic  , -          , Basic   , -         , Basic   , -      , Good   , -     , -
 JH7100            , SiFive U74 + SiFive E24                    ,VisionFive, VisionFive                       , -          , -             , Good   , -      , -          , -           , Good      , Good      , Basic    , Basic  , -          , Basic   , Basic     , Basic   , -      , Basic  , -     , -
 JH7110            , SiFive U74 + SiFive S7 + SiFive E24        ,VisionFive2, VisionFive 2                     , Basic      , Good          , -      , Basic  , -          , -           , Good      , Good      , Basic    , Basic  , -          , Good    , Basic     , Basic   , -      , Basic  , -     , -
 K230              , XuanTie C908                               ,K230, CanMV K230                      , -          , Basic         , Basic  , -      , -          , -           , -         , -         , -        , Basic  , -          , -       , -         , -       , -      , -      , -     , -
 K510              , K510 (?)                                   ,K510, Canaan K510-CRB-V1.2 KIT        , -          , -             , -      , -      , -          , -           , -         , -         , -        , -      , -          , -       , Basic     , -       , -      , -      , -     , -
 D1 (D1-H)         , XuanTie C906                               ,D1_LicheeRV, LicheeRV/AWOL Nezha             , Basic      , Good          , Good   , -      , -          , -           , Good      , -         , Basic    , Basic  , Basic      , -       , -         , Basic   , -      , -      , -     , -
 D1 (D1-H)         , XuanTie C906                               ,DongshanPI-STU, DongshanPI-Nezha STU  , CFT        , CFT           , -      , -      , -          , -           , -         , -         , -        , -      , CFT        , -       , CFT       , CFT     , -      , -      , -     , -
 D1 (D1-H)         , XuanTie C906                               ,mangopi_mq_pro, MangoPi MQ Pro        , CFT        , CFT           , CFT    , -      , -          , -           , -         , -         , CFT      , CFT    , CFT        , CFT     , -         , CFT     , -      , -      , -     , -
 D1s               , XuanTie C906                               ,DongShanPI-D1s, DongShanPI D1s        , -          , -             , -      , -      , -          , -           , -         , -         , -        , -      , CFT        , -       , -         , -       , -      , -      , -     , -
 D1s               , XuanTie C906                               ,mangopi_mq, Mangopi MQ                , -          , -             , -      , -      , -          , -           , -         , -         , -        , -      , CFT        , -       , -         , -       , -      , -      , -     , -
 D1s               , XuanTie C906                               ,NeZha-D1s, D1s NeZha                  , -          , -             , -      , -      , -          , -           , -         , -         , -        , Basic  , CFT        , -       , -         , -       , -      , -      , -     , -
 U740              , SiFive U74 + SiFive S7                     ,Unmatched, HiFive Unmatched           , -          , Basic         , Basic  , -      , -          , -           , Good      , Good      , Basic    , Basic  , -          , -       , -         , Basic   , -      , CFT    , -     , -
 SG2000            , XuanTie C906 + ARM Cortex-A53              ,Duo_S, Milk-V Duo S                    , -          , Basic         , -      , -      , -          , -           , -         , -         , -        , -      , -          , -       , Basic     , -       , -      , -      , -     , -
 JH7110            , SiFive U74 + SiFive S7 + SiFive E24        ,Mars, Milk-V Mars                     , -          , Basic         , -      , -      , -          , -           , -         , -         , -        , Basic  , -          , -       , Basic     , -       , -      , CFT    , -     , -
 FSL1030M          , Nuclei UX608                               ,Vega, Milk-V Vega                     , -          , -             , -      , -      , -          , -           , -         , -         , -        , -      , -          , -       , CFH       , -       , -      , -      , -     , -
 TH1520            , XuanTie C910 + XuanTie C906 + XuanTie E902 ,Meles, Milk-V Meles                   , -          , CFT           , -      , -      , -          , -           , -         , -         , -        , -      , -          , -       , -         , -       , -      , -      , -     , -
 TH1520            , XuanTie C910 + XuanTie C906 + XuanTie E902 ,LicheeCluster4A, Lichee Cluster 4A          , -          , Basic         , Basic  , -      , -          , -           , Basic     , Basic     , -        , Basic  , -          , Basic   , -         , Basic   , -      , -      , -     , -
 TH1520            , XuanTie C910 + XuanTie C906 + XuanTie E902 ,LicheeConsole4A, Lichee Console 4A          , -          , Good          , -      , -      , -          , -           , -         , -         , -        , -      , -          , -       , -         , -       , -      , -      , -     , -
 SG2002            , XuanTie C906 + ARM Cortex-A53              ,LicheeRV_Nano, LicheeRV Nano           , -          , Basic         , -      , -      , -          , -           , -         , -         , -        , -      , -          , -       , Basic     , -       , -      , -      , -     , -
 BL808             , XuanTie C906 + XuanTie E907 + XuanTie E902 ,M1s, Sipeed M1s Dock            , -          , -             , -      , -      , -          , -           , -         , -         , -        , -      , -          , -       , Basic     , -       , -      , -      , -     , -
 Keystone K1       , SpacemiT X60                               ,BPI-F3, BananaPi BPI-F3               , -          , -             , -      , -      , -          , -           , -         , -         , -        , -      , -          , Basic   , -         , -       , Basic  , -      , -     , -
 TH1520            , XuanTie C910 + XuanTie C906 + XuanTie E902 ,BeagleV-Ahead, BeagleV-Ahead                         , -          , -             , -      , -      , -          , -           , -         , -         , -        , CFT    , -          , -       , -         , -       , -      , -      , CFT   , -
 MPFS025T          , SiFive U54 + SiFive E51                    ,BeagleV-Fire, BeagleV-Fire                          , -          , -             , -      , -      , -          , -           , -         , -         , -        , CFT    , -          , -       , -         , -       , -      , -      , -     , -
 JH7110            , SiFive U74 + SiFive S7 + SiFive E24        ,STAR64, Star64                                , CFT        , CFT           , -      , CFT    , -          , -           , CFT       , CFT       , CFT      , CFT    , -          , CFT     , CFT       , CFT     , -      , CFT    , CFT   , -
 MPFS250T          , SiFive U54 + SiFive E51                    ,Icicle, PolarFire FPGA SoC Icicle Kit , CFT        , -             , -      , -      , -          , -           , -         , -         , -        , Basic  , -          , -       , Basic     , -       , -      , -      , Basic , -
 PIC64GX1000-V/FCS , SiFive U54 + SiFive E51                    ,PIC64GX, PIC64GX Curiosity Kit        , -          , -             , -      , -      , -          , -           , -         , -         , -        , CFT    , -          , -       , -         , -       , -      , -      , CFT   , -
